"l4_pcode","date_start","ch_pcfl","ch_sviol","ch_cviol","st_crctrl","st_tactrl","st_confront","st_destroy","al_nviol","al_viol","time","l1_pcode","l1_ar","l1_en","l2_pcode","l2_ar","l2_en","l3_pcode","l3_ar","l3_en","l4_ar","l4_en","p1","p2","p3"
"C6115",2012-03-07,0,1,0,0,0,0,0,0,0,400,"SY12","درعا","Dar'a","SY1203","ازرع","Izra'","SY120302","الحراك","Hrak","الصورة","Sura",0,0,1
"C2667",2012-03-10,1,0,0,0,1,0,0,0,0,403,"SY04","حمص","Homs","SY0401","مركز حمص","Homs","SY040107","مهين","Mahin","مهين","Mahin",0,0,1
"C4298",2012-06-30,0,0,1,0,0,1,0,0,0,515,"SY07","إدلب","Idleb","SY0705","أريحا","Ariha","SY070501","احسم","Ehsem","الموزرة","Mozra",0,0,1
"C4298",2012-03-10,0,0,0,0,1,0,0,0,0,403,"SY07","إدلب","Idleb","SY0705","أريحا","Ariha","SY070501","احسم","Ehsem","الموزرة","Mozra",0,0,1
"C4299",2012-03-10,0,0,0,0,1,0,0,0,0,403,"SY07","إدلب","Idleb","SY0705","أريحا","Ariha","SY070501","احسم","Ehsem","عين لاروز","Ein Laruz",0,0,1
"C6047",2012-03-10,0,0,0,0,1,0,0,0,0,403,"SY12","درعا","Dar'a","SY1200","درعا","Dar'a","SY120007","المسيفرة","Mseifra","الكرك","Karak",0,0,1
"C6047",2012-06-26,0,0,0,0,1,0,0,0,0,511,"SY12","درعا","Dar'a","SY1200","درعا","Dar'a","SY120007","المسيفرة","Mseifra","الكرك","Karak",0,0,1
"C3180",2012-03-11,0,1,0,0,0,0,0,0,0,404,"SY05","حماة","Hama","SY0502","السقيلبية","As- Suqaylabiyah","SY050203","شطحة","Shat-ha","شطحة التحتا","Lower Shateha",0,0,1
"C6000",2012-03-11,0,0,1,0,0,1,0,0,0,404,"SY12","درعا","Dar'a","SY1200","درعا","Dar'a","SY120001","بصرى الشام","Busra Esh-Sham","طيسيا","Tisiya",0,0,1
"C2385",2012-03-13,0,0,0,0,1,0,0,0,0,406,"SY03","ريف دمشق","Rural Damascus","SY0303","القطيفة","Al Qutayfah","SY030300","مركز القطيفة","Al Qutayfah","معضمية القلمون","Madamiyet Elqalmun",0,0,1
"C5127",2012-03-15,0,0,1,0,0,1,0,0,0,408,"SY09","دير الزور","Deir-ez-Zor","SY0901","مركز دير الزور","Deir-ez-Zor","SY090103","موحسن","Muhasan","موحسن","Muhasan",0,0,1
"C5127",2012-05-26,0,1,0,0,0,0,0,0,0,480,"SY09","دير الزور","Deir-ez-Zor","SY0901","مركز دير الزور","Deir-ez-Zor","SY090103","موحسن","Muhasan","موحسن","Muhasan",0,0,1
"C5127",2012-06-26,0,0,0,0,1,0,0,0,0,511,"SY09","دير الزور","Deir-ez-Zor","SY0901","مركز دير الزور","Deir-ez-Zor","SY090103","موحسن","Muhasan","موحسن","Muhasan",0,0,1
"C5127",2012-07-08,0,0,1,0,0,1,0,0,0,523,"SY09","دير الزور","Deir-ez-Zor","SY0901","مركز دير الزور","Deir-ez-Zor","SY090103","موحسن","Muhasan","موحسن","Muhasan",0,0,1
"C3188",2012-05-07,1,0,0,0,0,0,1,0,0,461,"SY05","حماة","Hama","SY0502","السقيلبية","As- Suqaylabiyah","SY050204","قلعة المضيق","Madiq Castle","تويني","Tweini",0,0,1
"C3188",2012-03-22,0,0,0,0,0,0,1,0,0,415,"SY05","حماة","Hama","SY0502","السقيلبية","As- Suqaylabiyah","SY050204","قلعة المضيق","Madiq Castle","تويني","Tweini",0,0,1
"C3188",2012-05-29,0,0,0,0,1,0,0,0,0,483,"SY05","حماة","Hama","SY0502","السقيلبية","As- Suqaylabiyah","SY050204","قلعة المضيق","Madiq Castle","تويني","Tweini",0,0,1
"C3188",2012-07-28,0,0,1,0,0,1,0,0,0,543,"SY05","حماة","Hama","SY0502","السقيلبية","As- Suqaylabiyah","SY050204","قلعة المضيق","Madiq Castle","تويني","Tweini",0,0,1
"C3188",2012-07-08,0,0,1,0,0,1,0,0,0,523,"SY05","حماة","Hama","SY0502","السقيلبية","As- Suqaylabiyah","SY050204","قلعة المضيق","Madiq Castle","تويني","Tweini",0,0,1
"C3188",2012-07-25,0,0,1,0,0,1,0,0,0,540,"SY05","حماة","Hama","SY0502","السقيلبية","As- Suqaylabiyah","SY050204","قلعة المضيق","Madiq Castle","تويني","Tweini",0,0,1
"C3188",2012-05-01,0,0,1,0,0,0,0,0,0,455,"SY05","حماة","Hama","SY0502","السقيلبية","As- Suqaylabiyah","SY050204","قلعة المضيق","Madiq Castle","تويني","Tweini",0,0,1
"C1074",2012-03-24,0,0,1,0,0,1,0,0,0,417,"SY02","حلب","Aleppo","SY0200","جبل سمعان","Jebel Saman","SY020002","تل الضمان","Tall Ed-daman","عندان الشيخ","Andan Elsheikh",0,0,1
"C1074",2012-06-14,0,0,0,0,0,0,1,0,0,499,"SY02","حلب","Aleppo","SY0200","جبل سمعان","Jebel Saman","SY020002","تل الضمان","Tall Ed-daman","عندان الشيخ","Andan Elsheikh",0,0,1
"C1074",2012-06-15,0,0,1,0,0,1,0,0,0,500,"SY02","حلب","Aleppo","SY0200","جبل سمعان","Jebel Saman","SY020002","تل الضمان","Tall Ed-daman","عندان الشيخ","Andan Elsheikh",0,0,1
"C3284",2012-03-24,0,0,0,0,1,0,0,0,0,417,"SY05","حماة","Hama","SY0503","السلمية","As- Salamiyeh","SY050302","السعن","As-Saan","رهجان","Rahjan",0,0,1
"C3928",2012-03-26,0,0,0,0,0,0,1,0,0,419,"SY07","إدلب","Idleb","SY0700","مركز إدلب","Idleb","SY070003","سراقب","Saraqab","كفر عميم","Kafr Omeim",0,0,1
"C4240",2012-03-26,0,0,1,0,0,1,0,0,0,419,"SY07","إدلب","Idleb","SY0704","جسر الشغور","Jisr-Ash- Shugur","SY070402","دركوش","Darkosh","الغزالة_مغيدلة","Ghazala - Mgheidleh",0,0,1
"C4240",2012-05-22,0,0,1,0,0,1,0,0,0,476,"SY07","إدلب","Idleb","SY0704","جسر الشغور","Jisr-Ash- Shugur","SY070402","دركوش","Darkosh","الغزالة_مغيدلة","Ghazala - Mgheidleh",0,0,1
"C2302",2012-06-10,0,0,0,0,1,0,0,0,0,495,"SY03","ريف دمشق","Rural Damascus","SY0301","مركز ريف دمشق","Rural Damascus","SY030102","ببيلا","Babella","يلدا","Yalda",0,0,1
"C2302",2012-04-01,0,0,0,0,1,0,0,0,0,425,"SY03","ريف دمشق","Rural Damascus","SY0301","مركز ريف دمشق","Rural Damascus","SY030102","ببيلا","Babella","يلدا","Yalda",0,0,1
"C6009",2012-04-01,0,0,1,0,1,0,0,0,0,425,"SY12","درعا","Dar'a","SY1200","درعا","Dar'a","SY120002","خربة غزالة","Kherbet Ghazala","الغارية الشرقية","Eastern Ghariyeh",0,0,1
"C2500",2012-04-02,0,0,0,0,1,0,0,0,0,426,"SY03","ريف دمشق","Rural Damascus","SY0309","داريا","Darayya","SY030901","صحنايا","Sahnaya","أشرفية صحنايا","Ashrafiet Sahnaya",0,0,1
"C3031",2012-04-02,0,0,0,0,1,0,0,0,0,426,"SY05","حماة","Hama","SY0501","مركز حماة","Hama","SY050101","صوران","Suran","معردس","Maar Dis",0,0,1
"C3031",2012-06-26,0,0,1,0,0,1,0,0,0,511,"SY05","حماة","Hama","SY0501","مركز حماة","Hama","SY050101","صوران","Suran","معردس","Maar Dis",0,0,1
"C3326",2012-04-02,0,0,0,0,1,0,0,0,0,426,"SY05","حماة","Hama","SY0503","السلمية","As- Salamiyeh","SY050304","عقيربات","Oqeirbat","جروح","Jruh",0,0,1
"C4305",2012-04-02,0,0,0,0,1,0,0,0,0,426,"SY07","إدلب","Idleb","SY0705","أريحا","Ariha","SY070501","احسم","Ehsem","فركيا","Farkya",0,0,1
"C2334",2012-04-07,0,0,1,0,1,0,0,0,0,431,"SY03","ريف دمشق","Rural Damascus","SY0302","دوما","Duma","SY030200","مركز دوما","Duma","الشفونية","Shafuniyeh",0,0,1
"C2334",2012-05-20,0,0,1,0,0,0,0,0,0,474,"SY03","ريف دمشق","Rural Damascus","SY0302","دوما","Duma","SY030200","مركز دوما","Duma","الشفونية","Shafuniyeh",0,0,1
"C2334",2012-04-24,0,1,0,0,0,0,0,0,0,448,"SY03","ريف دمشق","Rural Damascus","SY0302","دوما","Duma","SY030200","مركز دوما","Duma","الشفونية","Shafuniyeh",0,0,1
"C2478",2012-04-07,0,0,1,0,0,1,0,0,0,431,"SY03","ريف دمشق","Rural Damascus","SY0308","قطنا","Qatana","SY030801","بيت جن","Bait Jan","بيت جن","Bait Jan",0,0,1
