age,educ,gender,rural,income,income_ln,gorman_secisl,voteisl,pious_off,cleric_inf,relig,sec_index,dem_index
25,3,0,0,900,6.8023949,3,,3,2,1,3.5714285,1.6666666
40,1,0,0,9999996,,3,0,1,1,1,4,3
51,3,1,0,180,5.1929569,3,1,2,2,2,2,2
60,1,0,0,300,5.7037826,3,0,2,2,2,3.2857144,3
34,2,1,0,400,5.9914646,3,0,1,3,2,3.1428571,2.3333333
38,3,1,0,9999996,,1,1,3,2,2,2.5714285,2.6666667
63,3,0,0,400,5.9914646,2,0,2,2,2,1.8571428,1.6666666
19,4,1,0,9999996,,,0,,,,,2
22,4,1,0,1200,7.0900769,3,0,,,1,5,2.3333333
78,1,1,0,9999997,,,0,3,3,3,2.1666667,1.6666666
40,3,0,0,1500,7.3132205,3,0,2,2,1,3.7142856,3
24,4,0,0,700,6.5510802,2,0,3,2,2,3.5,4
30,5,0,0,300,5.7037826,,0,2,1,1,2.8571429,2.6666667
50,4,0,0,500,6.2146082,3,,2,2,2,1.7142857,3
26,,1,0,9999998,,,0,2,2,2,3.7142856,2.6666667
31,5,0,0,1500,7.3132205,2,,2,2,2,2.4285715,3
40,1,1,0,9999996,,2,0,3,2,1,2.2,3
62,1,0,0,250,5.521461,2,,,1,2,2.5714285,3.3333333
65,1,1,0,2000,7.6009026,,0,,,3,3.1428571,2
30,6,1,0,800,6.6846118,1,0,2,2,2,3.5714285,3.3333333
32,6,1,0,9999994,,,1,3,2,2,2.4285715,3.3333333
36,4,0,0,600,6.3969297,3,,2,3,2,2.1428571,2.3333333
44,6,0,0,600,6.3969297,3,0,2,2,2,2,3
58,3,0,0,200,5.2983174,,1,,2,2,3,2.6666667
30,4,1,0,800,6.6846118,3,0,2,3,1,3.5714285,3
41,6,1,1,600,6.3969297,2,,2,1,2,2.7142856,3.3333333
21,3,0,1,400,5.9914646,4,1,2,2,2,2.7142856,3
45,4,0,1,600,6.3969297,2,0,3,1,2,3.8571429,3
27,4,1,1,500,6.2146082,3,0,2,3,3,2.7142856,3
18,2,1,1,300,5.7037826,,0,3,2,2,2.8571429,2
85,1,0,1,125,4.8283138,,0,,,3,1.4285715,2
68,1,1,1,150,5.0106354,,0,,,,2.7142856,2
43,3,0,1,670,6.5072775,3,0,,,,4.1428571,3.3333333
58,3,1,1,100,4.6051702,,1,,,2,2.4285715,2
25,4,0,1,400,5.9914646,3,0,,2,1,3.7142856,3.6666667
47,1,1,0,300,5.7037826,3,0,3,3,3,3,2.3333333
31,4,1,0,800,6.6846118,2,0,4,2,2,,3.6666667
39,1,1,0,500,6.2146082,,,,,2,3.1428571,2
37,3,0,0,9999996,,3,,2,3,2,1.8571428,3
32,4,0,0,350,5.857933,3,0,3,2,3,2.2857144,2
52,1,0,0,200,5.2983174,3,,3,2,3,1.7142857,3
23,4,1,0,500,6.2146082,3,,2,2,2,,2.6666667
76,1,0,0,200,5.2983174,2,0,2,2,3,1.8571428,2
23,4,0,0,500,6.2146082,3,0,2,3,1,2.8571429,2.3333333
28,2,1,0,550,6.3099184,2,0,2,2,2,2,4
42,4,1,0,9999998,,3,0,2,,2,2.7142856,2.6666667
47,5,1,0,600,6.3969297,2,0,1,1,2,2.5714285,3
68,2,1,0,900,6.8023949,,0,,,2,2.5714285,2
50,3,0,0,4000,8.2940493,2,0,1,1,2,3.1428571,3.6666667
48,5,0,0,250,5.521461,,1,1,2,2,3.5714285,2
42,3,0,0,400,5.9914646,3,,2,2,2,2.7142856,1.6666666
26,3,0,0,600,6.3969297,2,0,2,2,1,3.1428571,2.6666667
36,3,0,0,800,6.6846118,3,0,2,2,1,3,2
70,1,1,0,9999997,,3,0,4,4,3,2.7142856,2.3333333
40,1,1,0,1000,6.9077554,3,0,2,2,2,2.7142856,3
43,1,1,0,400,5.9914646,3,0,2,2,3,3.1428571,2.3333333
43,2,1,0,200,5.2983174,3,1,2,3,2,2.7142856,1.3333334
43,2,1,0,9999998,,4,0,3,3,3,1.4285715,2
45,3,1,0,1800,7.495542,3,0,2,2,1,2.5714285,3
42,3,0,0,300,5.7037826,3,0,3,1,2,3.1428571,3.3333333
80,4,0,0,1500,7.3132205,3,1,2,2,2,1.4285715,3
70,1,0,0,400,5.9914646,3,1,2,2,3,1,3
75,1,0,0,130,4.8675346,,0,,,2,1.8333334,2
69,1,0,0,400,5.9914646,5,0,2,4,2,2,2.6666667
54,1,1,0,150,5.0106354,3,0,2,2,3,3.2857144,2.3333333
37,3,1,0,350,5.857933,3,0,,2,2,2.5714285,2
