"","STIAT.test","STIAT.practice","approve_abdel_rev","democracy1","democracy2","democracy3","democracy4","democracy5","edu","frisun_services","gender","income","list_1a","list_1b","list_2a","list_2b","list2a.clean","list2b.clean","religion","direct.support","implicit.support","rel_christian","rel_muslim","work_govemp","location","region","islamist","liberal"
"299",0.159791666,0.170885512,NA,2,3,2,3,3,5,2,1,4,0,0,0,0,NA,NA,1,NA,1,0,1,0,"cairo","cairo",0,0
"300",-0.161009723,-0.15486654,2,1,4,2,3,3,5,3,1,2,0,0,0,0,NA,NA,1,0,0,0,1,1,"gharbia","delta",0,0
"301",0.087485483,0.179936584,4,2,2,2,4,4,5,1,1,2,0,0,2,0,2,NA,1,1,1,0,1,0,"cairo","cairo",0,1
"302",-0.010063625,-0.233209868,NA,2,3,NA,NA,4,5,2,1,NA,0,0,0,0,NA,0,1,NA,0,0,1,0,"cairo","cairo",0,1
"303",0.300986581,0.230100702,NA,1,4,4,NA,NA,5,1,1,2,0,0,4,0,4,NA,1,NA,1,0,1,0,"cairo","cairo",NA,NA
"304",0.216276685,0.224418716,NA,NA,NA,NA,NA,NA,5,NA,1,NA,0,0,NA,0,NA,NA,NA,NA,1,0,0,0,"cairo","cairo",NA,NA
"305",-0.082724414,0.014380605,2,2,3,2,2,3,5,1,1,2,0,0,0,1,NA,1,1,0,0,0,1,0,"gharbia","delta",0,0
"306",-0.214284533,0.199225005,NA,1,3,1,NA,4,6,1,1,3,0,0,2,0,2,NA,1,NA,0,0,1,1,"minya","upper",0,1
"307",0.066948776,0.250953,3,NA,NA,2,NA,4,3,1,1,3,0,0,0,0,NA,NA,1,1,1,0,1,0,"dakahlia","delta",0,1
"308",0.632186714,0.080077828,NA,1,4,2,1,4,5,1,1,3,0,0,0,2,NA,2,1,NA,1,0,1,0,"damietta","delta",0,0
"309",-0.875186982,-0.249668135,2,3,NA,4,3,NA,5,4,1,3,0,0,0,0,NA,NA,1,0,0,0,1,0,"cairo","cairo",0,0
"310",0.428306628,0.204335566,3,NA,NA,2,NA,4,3,1,1,3,0,0,2,0,2,NA,1,1,1,0,1,0,"dakahlia","delta",0,1
"311",-0.00307648,0.478245983,4,2,NA,2,4,4,5,1,1,1,0,0,0,2,NA,2,1,1,0,0,1,1,"cairo","cairo",0,1
"312",-0.635899231,0.372507308,3,3,2,3,3,3,5,2,1,3,0,0,4,0,4,NA,1,1,0,0,1,0,"portsaid","delta",0,0
"313",0.2989021,0.64824994,4,1,3,3,4,4,5,2,1,1,0,0,0,0,NA,NA,1,1,1,0,1,1,"cairo","cairo",0,1
"314",-0.117645301,0.239965955,1,3,3,2,3,4,5,1,1,1,0,0,0,0,NA,NA,1,0,0,0,1,0,"sharqia","delta",0,0
"315",0.214687917,-0.264084595,3,2,3,2,2,3,3,3,1,1,0,0,3,0,3,NA,1,1,1,0,1,0,"alexandria","alex",0,0
"316",0.304846788,0.157745611,4,2,2,NA,2,3,5,1,1,2,0,0,0,2,NA,2,1,1,1,0,1,0,"cairo","cairo",0,0
"317",-0.131349793,0.613632232,3,2,2,2,3,3,6,1,2,1,0,0,2,0,2,NA,1,1,0,0,1,0,"cairo","cairo",0,0
"318",0.341228841,-0.05140684,4,4,3,2,4,2,3,NA,1,NA,0,0,0,3,NA,3,1,1,1,0,1,0,"gharbia","delta",0,0
"319",0.377429068,0.557922754,4,NA,NA,NA,NA,NA,5,2,1,1,0,0,0,0,NA,NA,1,1,1,0,1,0,"cairo","cairo",NA,NA
"320",0.29885519,-0.028776778,3,2,2,2,1,2,4,2,1,1,0,0,0,0,NA,NA,1,1,1,0,1,0,"gharbia","delta",1,0
"321",-0.272118214,0.024831883,1,2,3,2,2,3,4,3,1,2,0,0,1,0,1,NA,1,0,0,0,1,0,"cairo","cairo",0,0
"322",-0.147050303,-0.299655321,1,1,1,1,2,3,4,3,1,2,0,0,0,0,0,NA,1,0,0,0,1,0,"cairo","cairo",0,0
"323",0.267726025,0.119489763,2,1,2,3,3,2,5,1,1,2,0,0,2,0,2,NA,1,0,1,0,1,0,"qalyubia","delta",0,0
"324",0.237987576,-0.400578584,2,2,2,3,3,2,5,1,1,2,0,0,0,2,NA,2,1,0,1,0,1,0,"qalyubia","delta",0,0
"325",-0.217909838,-0.393473329,1,3,2,3,4,1,4,4,2,3,0,0,0,3,NA,3,2,0,0,1,0,0,"cairo","cairo",0,0
"326",0.044976381,-0.134464788,3,2,3,2,3,3,5,1,1,2,0,0,4,0,4,NA,1,1,1,0,1,0,"cairo","cairo",0,0
"327",0.171165497,0.113957612,1,1,1,1,1,1,6,1,1,1,0,0,3,0,3,NA,1,0,1,0,1,1,"dakahlia","delta",1,0
"328",0.270481723,0.352359973,4,1,1,1,4,4,6,1,2,2,0,0,4,0,4,NA,1,1,1,0,1,0,"cairo","cairo",0,1
"329",0.073496135,0.035480186,3,NA,3,2,4,3,5,1,1,NA,0,0,0,1,NA,1,1,1,1,0,1,0,"sharqia","delta",0,1
"330",0.228058599,-0.442399695,3,2,3,2,3,3,5,1,1,2,0,0,0,0,NA,0,1,1,1,0,1,0,"alexandria","alex",0,0
"331",0.093312614,-0.022171135,2,2,NA,NA,NA,NA,3,3,1,NA,0,0,NA,0,NA,NA,1,0,1,0,1,0,"alexandria","alex",NA,NA
"332",0.156207569,0.322828229,4,2,3,3,3,3,4,1,1,2,0,0,0,0,NA,NA,1,1,1,0,1,0,"minya","upper",0,0
"333",0.194157079,0.353861234,4,1,1,1,1,1,4,1,1,1,0,0,0,0,NA,NA,1,1,1,0,1,0,"cairo","cairo",1,0
"334",0.204480189,0.348864395,1,2,1,2,3,3,3,2,1,3,0,0,1,0,1,NA,1,0,1,0,1,0,"monufia","delta",0,0
"335",0.142594497,0.224894605,3,2,4,2,3,4,5,1,1,2,0,0,3,0,3,NA,1,1,1,0,1,1,"cairo","cairo",0,1
"336",0.140138128,0.293162313,2,3,3,3,3,3,5,1,1,1,0,0,0,NA,NA,NA,1,0,1,0,1,0,"damietta","delta",0,0
"337",-0.601437215,-0.214461839,NA,NA,NA,NA,NA,NA,3,1,1,2,0,0,NA,0,NA,NA,1,NA,0,0,1,0,"cairo","cairo",NA,NA
"338",-0.011383884,-0.347673983,NA,NA,NA,NA,NA,4,5,2,1,4,0,0,0,2,NA,2,1,NA,0,0,1,0,"kafrelsheikh","delta",0,NA
"339",-0.264909438,0.206894521,4,1,3,1,4,4,5,2,2,3,0,0,0,3,NA,3,1,1,0,0,1,0,"alexandria","alex",0,1
"340",0.52892069,-0.077803585,3,1,3,2,NA,4,5,2,1,3,0,0,0,0,NA,NA,1,1,1,0,1,0,"minya","upper",0,1
"341",0.080588892,0.116259986,3,2,3,2,3,4,5,1,1,2,0,0,0,0,NA,NA,1,1,1,0,1,1,"cairo","cairo",0,1
"342",-0.126596866,-0.030626941,2,2,2,2,2,3,3,5,2,3,0,0,0,0,NA,NA,1,0,0,0,1,0,"giza","cairo",0,0
"343",0.162513803,-0.246656831,1,1,3,1,4,4,5,4,2,1,0,0,0,NA,NA,NA,1,0,1,0,1,0,"cairo","cairo",0,1
"344",-0.103625679,0.336970809,2,1,4,1,1,3,5,4,2,1,0,0,0,2,NA,2,1,0,0,0,1,0,"ismailia","delta",1,0
"345",-0.060107017,0.018104744,1,1,4,1,1,1,3,1,1,2,0,0,0,0,NA,NA,1,0,0,0,1,0,"benisuef","upper",1,0
"346",-0.35769018,0.087881177,2,2,2,2,3,3,6,2,1,2,0,0,0,2,NA,2,1,0,0,0,1,0,"cairo","cairo",0,0
"347",-0.231690889,-0.22349968,1,4,3,2,2,2,5,1,2,2,0,0,1,0,1,NA,1,0,0,0,1,0,"cairo","cairo",1,0
"348",-0.727023517,-0.039075612,2,1,4,2,NA,3,5,2,1,2,0,0,0,1,NA,1,1,0,0,0,1,0,"alexandria","alex",0,0
"349",0.513718734,0.164080338,NA,3,3,3,3,NA,5,1,1,1,0,0,0,NA,NA,NA,1,NA,1,0,1,0,"cairo","cairo",0,0
"350",-0.377163607,0.069160782,2,1,4,1,1,3,5,2,2,NA,0,0,2,0,2,NA,1,0,0,0,1,0,"ismailia","delta",1,0
"351",-0.39654798,0.565389801,3,1,4,2,3,2,5,1,1,3,0,0,2,0,2,NA,1,1,0,0,1,0,"giza","cairo",0,0
"352",0.330919783,0.186148074,3,2,3,2,3,3,3,1,1,2,0,0,0,0,NA,NA,1,1,1,0,1,0,"cairo","cairo",0,0
"353",0.159296735,-0.351596171,2,3,1,2,3,3,5,1,1,2,0,0,0,0,NA,NA,1,0,1,0,1,0,"sohag","upper",0,0
"354",0.181281567,0.085661513,2,2,3,2,4,4,5,1,1,1,0,0,0,0,NA,NA,1,0,1,0,1,0,"cairo","cairo",0,1
"355",0.342868297,0.20443017,2,3,3,2,4,3,5,1,1,2,0,0,0,0,NA,NA,1,0,1,0,1,0,"dakahlia","delta",0,0
"356",-0.037910836,-0.253830643,3,3,2,2,4,2,2,4,1,NA,0,0,NA,0,NA,NA,1,1,0,0,1,0,"alexandria","alex",0,0
"357",-0.23030691,-0.046994466,2,2,3,2,2,3,5,5,1,2,0,0,0,2,NA,2,1,0,0,0,1,0,"gharbia","delta",0,0
"358",-0.363773617,-0.763539672,1,3,2,2,NA,3,3,2,2,2,0,0,0,0,NA,NA,1,0,0,0,1,0,"cairo","cairo",0,0
"359",0.369978105,0.785546381,3,2,3,2,3,3,5,1,1,3,0,0,0,0,NA,NA,1,1,1,0,1,0,"gharbia","delta",0,0
"360",-0.152510337,0.17888227,3,2,3,2,NA,4,6,2,1,3,0,0,0,2,NA,2,1,1,0,0,1,1,"monufia","delta",0,1
"361",-0.248768982,-0.751914677,1,3,1,3,2,2,5,1,1,2,0,0,0,0,0,NA,1,0,0,0,1,0,"alexandria","alex",1,0
"362",-0.133623856,0.045918058,3,2,3,2,3,2,5,1,1,3,0,0,3,0,3,NA,1,1,0,0,1,0,"cairo","cairo",0,0
"363",0.584025383,0.644417409,3,2,3,2,4,4,5,4,2,3,0,0,0,3,NA,3,1,1,1,0,1,0,"luxor","upper",0,1
"364",-0.197150702,0.199359695,3,2,3,2,4,4,5,3,2,3,0,0,0,3,NA,3,1,1,0,0,1,0,"luxor","upper",0,1
"365",-0.298314311,0.131557794,3,2,3,2,3,3,5,1,1,1,0,0,3,0,3,NA,1,1,0,0,1,0,"cairo","cairo",0,0
"366",0.069601049,0.457376716,NA,2,3,2,3,2,4,3,1,2,0,0,0,3,NA,3,1,NA,1,0,1,0,"cairo","cairo",0,0
"367",0.283129526,0.236288881,4,2,3,3,3,4,NA,1,1,3,0,0,0,0,NA,NA,1,1,1,0,1,0,"asyut","upper",0,0
"368",0.089599623,-0.170190387,3,NA,4,2,4,4,4,4,1,3,0,0,1,0,1,NA,2,1,1,1,0,0,"ismailia","delta",0,1
"369",0.146093229,0.18971032,2,2,2,2,2,2,5,1,1,2,0,0,1,0,1,NA,1,0,1,0,1,0,"alexandria","alex",1,0
"370",0.603335699,-0.051624756,NA,2,2,2,3,3,5,4,1,3,0,0,NA,0,NA,NA,1,NA,1,0,1,0,"cairo","cairo",0,0
"371",-0.182020689,0.189187797,2,2,3,2,2,3,6,3,1,3,0,0,0,0,NA,NA,1,0,0,0,1,0,"alexandria","alex",0,0
"372",-0.037811847,-0.319327165,4,1,4,1,3,3,5,1,1,3,0,0,0,3,NA,3,1,1,0,0,1,0,"giza","cairo",0,0
"373",0.481189776,-0.060123385,4,NA,NA,2,2,NA,3,2,1,3,0,0,0,2,NA,2,1,1,1,0,1,0,"asyut","upper",1,0
